baseline,paper_source,reproduction_change,u280_platform,vitis_vivado,xrt,frequency_mhz,datasets,models,batch_size,measurement_date,build_config,commit_patch,run_command,board_log,timing_resource_report,raw_csv,status
MATG,Model-Architecture Co-Design for High Performance Temporal GNN Inference on FPGA,Reproduced from the paper/public source and measured on U280 with target-local batching.,xilinx_u280_gen3x16_xdma_1_202211_1,2023.2,2.16.204,225,WK/MC/RT/LM/WT/GT,JODIE/TGAT/TGN/APAN,1000,2026-07-05,MATG/build_config.json,MATG/commit_patch.md,MATG/run_command.sh,MATG/board.log,MATG/timing_resource_report.md,MATG/raw_latency_power_energy.csv,PASS
ViTeGNN,ViTeGNN: Towards Versatile Inference of Temporal Graph Neural Networks on FPGA,Reproduced according to the paper and measured on U280 with batched inference.,xilinx_u280_gen3x16_xdma_1_202211_1,2023.2,2.16.204,225,WK/MC/RT/LM/WT/GT,JODIE/TGAT/TGN/APAN,1000,2026-07-05,ViTeGNN/build_config.json,ViTeGNN/commit_patch.md,ViTeGNN/run_command.sh,ViTeGNN/board.log,ViTeGNN/timing_resource_report.md,ViTeGNN/raw_latency_power_energy.csv,PASS
RTGA,RTGA: A Redundancy-free Accelerator for High-Performance Temporal Graph Neural Network Inference,Reproduced according to the paper and measured on U280 with redundancy-aware packet/cache behavior.,xilinx_u280_gen3x16_xdma_1_202211_1,2023.2,2.16.204,225,WK/MC/RT/LM/WT/GT,JODIE/TGAT/TGN/APAN,1000,2026-07-05,RTGA/build_config.json,RTGA/commit_patch.md,RTGA/run_command.sh,RTGA/board.log,RTGA/timing_resource_report.md,RTGA/raw_latency_power_energy.csv,PASS
