dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L37,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.8,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J38,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K38,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.05,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L38,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.75,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J39,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K39,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.35,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L39,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.88,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J40,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K40,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.75,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L40,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.62,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J41,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K41,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.85,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L41,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.05,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,TGN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J42,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
