dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WT,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/GT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
AVG,fig11_speedup_matg,AVG,MATG,vector_fig11,vector_geometry_digitization,Fig.11 AVG bar:MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
WK,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WK/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4199,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/MC/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3789,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/RT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4473,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/LM/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3469,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.5158,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,JODIE,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/GT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.5981,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WK/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4382,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/MC/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3971,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
