figure,model,dataset,solution,x,value,source_id,source_kind,source_locator,source_sha256,value_note
fig2_execution_breakdown,TGAT,WK,TGS (%),,72.5,workbook_a,exact_workbook_value,Sheet1!C8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,MG (%),,4.2,workbook_a,exact_workbook_value,Sheet1!D8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,VMU (%),,1.8,workbook_a,exact_workbook_value,Sheet1!E8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,TA (%),,21.5,workbook_a,exact_workbook_value,Sheet1!F8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,TGS (%),,68.8,workbook_a,exact_workbook_value,Sheet1!C9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,MG (%),,4.8,workbook_a,exact_workbook_value,Sheet1!D9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,VMU (%),,2.1,workbook_a,exact_workbook_value,Sheet1!E9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,TA (%),,24.3,workbook_a,exact_workbook_value,Sheet1!F9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,TGS (%),,74.1,workbook_a,exact_workbook_value,Sheet1!C10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,MG (%),,3.9,workbook_a,exact_workbook_value,Sheet1!D10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,VMU (%),,1.5,workbook_a,exact_workbook_value,Sheet1!E10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,TA (%),,20.5,workbook_a,exact_workbook_value,Sheet1!F10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,LM,TGS (%),,65.5,workbook_a,exact_workbook_value,Sheet1!C11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,LM,MG (%),,5.2,workbook_a,exact_workbook_value,Sheet1!D11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,LM,VMU (%),,2.5,workbook_a,exact_workbook_value,Sheet1!E11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,LM,TA (%),,26.8,workbook_a,exact_workbook_value,Sheet1!F11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WT,TGS (%),,80.2,workbook_a,exact_workbook_value,Sheet1!C12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WT,MG (%),,3.1,workbook_a,exact_workbook_value,Sheet1!D12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WT,VMU (%),,1.2,workbook_a,exact_workbook_value,Sheet1!E12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WT,TA (%),,15.5,workbook_a,exact_workbook_value,Sheet1!F12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,GT,TGS (%),,84.5,workbook_a,exact_workbook_value,Sheet1!C13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,GT,MG (%),,2.5,workbook_a,exact_workbook_value,Sheet1!D13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,GT,VMU (%),,1.1,workbook_a,exact_workbook_value,Sheet1!E13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,GT,TA (%),,11.9,workbook_a,exact_workbook_value,Sheet1!F13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WK,TGS (%),,44.5,workbook_a,exact_workbook_value,Sheet1!C14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WK,MG (%),,5.8,workbook_a,exact_workbook_value,Sheet1!D14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WK,VMU (%),,34.2,workbook_a,exact_workbook_value,Sheet1!E14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WK,TA (%),,15.5,workbook_a,exact_workbook_value,Sheet1!F14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,MC,TGS (%),,41.2,workbook_a,exact_workbook_value,Sheet1!C15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,MC,MG (%),,6.5,workbook_a,exact_workbook_value,Sheet1!D15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,MC,VMU (%),,33.5,workbook_a,exact_workbook_value,Sheet1!E15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,MC,TA (%),,18.8,workbook_a,exact_workbook_value,Sheet1!F15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,RT,TGS (%),,46.8,workbook_a,exact_workbook_value,Sheet1!C16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,RT,MG (%),,5.2,workbook_a,exact_workbook_value,Sheet1!D16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,RT,VMU (%),,34.8,workbook_a,exact_workbook_value,Sheet1!E16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,RT,TA (%),,13.2,workbook_a,exact_workbook_value,Sheet1!F16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,LM,TGS (%),,42.5,workbook_a,exact_workbook_value,Sheet1!C17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,LM,MG (%),,6.1,workbook_a,exact_workbook_value,Sheet1!D17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,LM,VMU (%),,32.5,workbook_a,exact_workbook_value,Sheet1!E17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,LM,TA (%),,18.9,workbook_a,exact_workbook_value,Sheet1!F17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WT,TGS (%),,55.4,workbook_a,exact_workbook_value,Sheet1!C18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WT,MG (%),,4.2,workbook_a,exact_workbook_value,Sheet1!D18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WT,VMU (%),,29.8,workbook_a,exact_workbook_value,Sheet1!E18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,WT,TA (%),,10.6,workbook_a,exact_workbook_value,Sheet1!F18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,GT,TGS (%),,61.2,workbook_a,exact_workbook_value,Sheet1!C19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,GT,MG (%),,3.5,workbook_a,exact_workbook_value,Sheet1!D19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,GT,VMU (%),,27.5,workbook_a,exact_workbook_value,Sheet1!E19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGN,GT,TA (%),,7.8,workbook_a,exact_workbook_value,Sheet1!F19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WK,TGS (%),,54.5,workbook_a,exact_workbook_value,Sheet1!C20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WK,MG (%),,5.8,workbook_a,exact_workbook_value,Sheet1!D20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WK,VMU (%),,18.2,workbook_a,exact_workbook_value,Sheet1!E20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WK,TA (%),,21.5,workbook_a,exact_workbook_value,Sheet1!F20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,MC,TGS (%),,50.2,workbook_a,exact_workbook_value,Sheet1!C21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
