dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
RT,fig9b_gpu_overhead_breakdown,TGN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J11,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,40.5,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,TGN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K11,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,31.5,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,TGN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L11,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,28.0,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J12,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,52.6,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K12,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,25.4,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L12,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,22.0,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J13,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,32.1,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K13,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,35.5,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L13,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,32.4,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,TGN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J14,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,26.8,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,TGN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K14,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,48.7,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,TGN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L14,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,24.5,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J15,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,74.8,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K15,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,8.1,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L15,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,17.1,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J16,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,76.5,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K16,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,7.4,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L16,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,16.1,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J17,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,78.2,Exact numeric cell from the author plotting workbook.
