csv_file,data_status,figure_id,input_file,input_form,input_sha256,reconstructed_source_csv_sha256,svg_file,title
fig2_execution_breakdown.csv,paper-reference reconstruction; not a fresh execution,fig2_execution_breakdown,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig2_execution_breakdown.svg,Fig.2 execution-time breakdown
fig4a_branch_parallelism_ratio.csv,paper-reference reconstruction; not a fresh execution,fig4a_branch_parallelism_ratio,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig4a_branch_parallelism_ratio.svg,Fig.4(a) branch parallelism ratio
fig9b_gpu_overhead_breakdown.csv,paper-reference reconstruction; not a fresh execution,fig9b_gpu_overhead_breakdown,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig9b_gpu_overhead_breakdown.svg,Fig.9(b) GPU overhead breakdown
fig10_speedup_tglite_cpu.csv,paper-reference reconstruction; not a fresh execution,fig10_speedup_tglite_cpu,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig10_speedup_tglite_cpu.svg,Fig.10 speedup normalized to TGLite-CPU
fig11_speedup_matg.csv,paper-reference reconstruction; not a fresh execution,fig11_speedup_matg,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig11_speedup_matg.svg,Fig.11 speedup normalized to MATG
fig12_energy_tempgnn.csv,paper-reference reconstruction; not a fresh execution,fig12_energy_tempgnn,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig12_energy_tempgnn.svg,Fig.12 energy normalized to TempGNN
fig13_ablation_time.csv,paper-reference reconstruction; not a fresh execution,fig13_ablation_time,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig13_ablation_time.svg,Fig.13 DDTC/OATS ablation
fig14a_batch_sensitivity.csv,paper-reference reconstruction; not a fresh execution,fig14a_batch_sensitivity,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig14a_batch_sensitivity.svg,Fig.14(a) batch-size sensitivity
fig14b_tdp_entries.csv,paper-reference reconstruction; not a fresh execution,fig14b_tdp_entries,tempgenn/paper_reference_data.py,source-labeled Python constants,d3bfb6128ec9a5539533a039f17a4bcfe7521e10d7dacd4d8626a8e14c57daac,b92cafe211f9f001f097898b1aae59c3c132ed6e9956176394fd14c034b3d147,fig14b_tdp_entries.svg,Fig.14(b) TDP-entry sensitivity
