dataset,model,coverage,events,vertices,batches,batch_size,endpoint,fanout,depth,tdp_entries,frequency_mhz,total_packets,memory_packets,hash_hits,packet_hit_rate,packet_reuse_rate,packet_reuse_factor,hash_collision_insert_rate,full_bucket_fallback_rate,collision_probe_per_insert,sync_stall_rate,sync_stall_cycles_per_batch,offchip_reduction_vs_no_sharing,latency_ms_avg,latency_ms_p50,latency_ms_p95,latency_ms_p99,batching_span_p50,batching_span_p95,batching_span_p99,notes
ALL,JODIE,mixed,2534773,29240,701,1000,mixed,-1,-1,16,225.0,508329,508329,0,0.0,0.0,1.0,0.0030413374015647344,0.0,0.0030433046314493175,0.0,0.0,0.0,0.040763074972261844,0.043779210651450316,0.047804444444444434,0.047804444444444434,14300.196211126977,50766.60431954352,105540.78776034237,Weighted aggregate over profiled dataset/model rows.
ALL,TGAT,mixed,2534773,29240,701,1000,mixed,-1,-1,16,225.0,13299317,10523134,2776183,0.2087462837377288,0.20874628373772874,1.263817129003584,0.06900159211124747,6.081838357280255e-06,0.07268214963336968,0.0004718667176528356,73.3694721825963,0.20874628373772874,0.6910564590267871,0.7019748296084958,1.0322246695197337,1.0613847392613727,14300.196211126977,50766.60431954352,105540.78776034237,Weighted aggregate over profiled dataset/model rows.
ALL,TGN,mixed,2534773,29240,701,1000,mixed,-1,-1,16,225.0,44991417,33805545,11185872,0.24862235390363455,0.24862235390363452,1.330888675215856,0.20933888212717766,0.0006851538704671083,0.25065524013885887,0.00012329711530159027,60.89015691868759,0.24862235390363452,2.1948844381042956,2.214668416547789,3.487573916627041,3.6241441242669206,14300.196211126977,50766.60431954352,105540.78776034237,Weighted aggregate over profiled dataset/model rows.
ALL,APAN,mixed,2534773,29240,701,1000,mixed,-1,-1,16,225.0,44991417,33805545,11185872,0.24862235390363455,0.24862235390363452,1.330888675215856,0.20933888212717766,0.0006851538704671083,0.25065524013885887,0.00012329711530159027,60.89015691868759,0.24862235390363452,2.1948844381042956,2.214668416547789,3.487573916627041,3.6241441242669206,14300.196211126977,50766.60431954352,105540.78776034237,Weighted aggregate over profiled dataset/model rows.
